Wall time,Step,Value
1495005670.7389324,10396,0.9375
1495005670.742843,10399,0.9375
1495005670.7702148,10420,0.921875
1495005670.8435357,10479,0.8984375
1495005670.8552806,10489,0.859375
1495005670.893394,10522,0.828125
1495005670.9940882,10607,0.8984375
1495005671.014629,10624,0.90625
1495005671.0312393,10638,0.8984375
1495005671.049823,10654,0.8984375
1495005671.0694847,10671,0.8828125
1495005671.116677,10711,0.8984375
1495005671.2604294,10757,0.921875
1495005671.261416,10758,0.8984375
1495005671.2868233,10780,0.875
1495005671.327883,10815,0.8984375
1495005671.3621008,10841,0.90625
1495005671.374826,10850,0.875
1495005671.4403093,10902,0.9296875
1495005671.4442196,10905,0.8828125
1495005671.4843116,10939,0.8984375
1495005671.48919,10943,0.9375
1495005671.5155854,10966,0.890625
1495005671.522429,10972,0.890625
1495005671.5243838,10974,0.921875
1495005671.571309,11014,0.8828125
1495005671.5781634,11020,0.890625
1495005671.5986834,11038,0.9140625
1495005671.6729925,11102,0.8671875
1495005671.6954668,11121,0.890625
1495005671.7062352,11130,0.90625
1495005671.9584455,11198,0.9140625
1495005671.9613795,11200,0.8828125
1495005672.069897,11260,0.890625
1495005672.355359,11419,0.84375
1495005672.4237907,11472,0.8359375
1495005672.4472535,11492,0.8671875
1495005672.483425,11523,0.9140625
1495005672.494179,11532,0.890625
1495005672.5137315,11549,0.90625
1495005672.5332847,11566,0.8828125
1495005672.7209911,11648,0.890625
1495005672.7483597,11671,0.9140625
1495005672.765958,11685,0.8984375
1495005672.8578625,11759,0.90625
1495005672.9927628,11873,0.90625
1495005673.1051886,11969,0.9140625
1495005673.1110554,11974,0.9375
1495005673.152115,12010,0.90625
1495005673.278227,12041,0.859375
1495005673.4190032,12138,0.921875
1495005673.4581082,12164,0.9140625
1495005673.463975,12168,0.8984375
1495005673.4903815,12184,0.921875
1495005673.5617366,12226,0.9140625
1495005673.647766,12290,0.9296875
1495005673.6507008,12293,0.890625
1495005673.6702526,12309,0.890625
1495005673.7865887,12405,0.90625
1495005673.9674459,12458,0.84375
1495005674.1434166,12553,0.9453125
1495005674.292992,12671,0.875
1495005674.3291647,12699,0.9296875
1495005674.399553,12758,0.9140625
1495005674.4533231,12805,0.8984375
1495005674.626359,12877,0.921875
1495005674.6498218,12896,0.890625
1495005674.6996803,12939,0.890625
1495005674.7993987,13017,0.9375
1495005674.819927,13034,0.875
1495005674.8512106,13061,0.9140625
1495005674.8756526,13082,0.921875
1495005674.890326,13094,0.9296875
1495005674.9089015,13109,0.8828125
1495005674.9128115,13113,0.875
1495005674.9333303,13130,0.921875
1495005674.979279,13166,0.90625
1495005675.0281608,13206,0.875
1495005675.0731306,13239,0.9140625
1495005675.3859694,13349,0.9375
1495005675.4573436,13402,0.8984375
1495005675.462231,13406,0.9453125
1495005675.4886172,13426,0.90625
1495005675.5511937,13475,0.921875
1495005675.5883348,13504,0.90625
1495005675.6401467,13546,0.875
1495005675.701737,13597,0.890625
1495005675.7300885,13620,0.90625
1495005675.802432,13679,0.921875
1495005675.8053777,13682,0.8984375
1495005676.0184839,13747,0.8828125
1495005676.0624788,13776,0.90625
1495005676.126999,13810,0.9296875
1495005676.177837,13845,0.890625
1495005676.224762,13884,0.9609375
1495005676.3323095,13976,0.9140625
1495005676.3586953,13998,0.9375
1495005676.4554944,14080,0.9609375
1495005676.7135794,14221,0.9140625
1495005676.7956896,14287,0.9296875
1495005676.8064432,14294,0.90625
1495005676.8191526,14303,0.921875
1495005676.8387141,14320,0.8828125
1495005676.853379,14332,0.8984375
1495005676.861189,14338,0.8984375
1495005676.9345112,14397,0.9140625
1495005676.995123,14447,0.9453125
1495005677.0498693,14494,0.921875
1495005677.0919065,14530,0.8984375
1495005677.1202576,14554,0.9453125
1495005677.12417,14557,0.9453125
1495005677.3069825,14632,0.90625
1495005677.3148024,14638,0.890625
1495005677.3529406,14668,0.90625
1495005677.3646626,14677,0.9375
1495005677.3783493,14687,0.90625
1495005677.4985943,14779,0.9375
1495005677.4995823,14780,0.890625
1495005677.509349,14788,0.9140625
1495005677.5142376,14792,0.9140625
1495005677.5337884,14809,0.8984375
1495005677.610044,14873,0.921875
1495005677.6325293,14892,0.9140625
1495005677.6726112,14926,0.9296875
1495005677.955141,15027,0.890625
1495005678.0636578,15090,0.9140625
1495005678.1457872,15136,0.8984375
1495005678.2044442,15180,0.8828125
1495005678.2288835,15199,0.9453125
1495005678.3100257,15266,0.921875
1495005678.3804047,15324,0.8984375
1495005678.408767,15347,0.875
1495005678.6551254,15473,0.90625
1495005678.6580472,15475,0.8984375
1495005678.6961758,15507,0.9296875
1495005678.7333248,15538,0.9140625
1495005678.8115325,15597,0.859375
1495005678.9816377,15740,0.921875
1495005679.0099883,15764,0.859375
1495005679.0207434,15773,0.9453125
1495005679.0813541,15825,0.859375
1495005679.0852647,15828,0.8984375
1495005679.3531318,15979,0.859375
1495005679.3726835,15993,0.921875
1495005679.499785,16095,0.953125
1495005679.524225,16116,0.9453125
1495005679.6816113,16249,0.921875
1495005679.8595374,16321,0.9296875
1495005679.8859353,16343,0.9296875
1495005679.9064665,16360,0.90625
1495005679.9680524,16406,0.9140625
1495005680.0120444,16440,0.8828125
1495005680.095156,16505,0.8828125
1495005680.2310302,16585,0.9140625
1495005680.240807,16590,0.9296875
1495005680.3727858,16661,0.9375
1495005680.430464,16697,0.9296875
1495005680.5859056,16746,0.9453125
1495005680.6592278,16808,0.9453125
1495005680.660204,16809,0.8828125
1495005680.7032204,16843,0.90625
1495005680.721808,16857,0.9140625
1495005680.7755635,16899,0.9375
1495005680.975975,17066,0.8984375
